timestamp,date,expiry_type,expiry,spot,atm,pcr_range,pcr_atm,ce_oi_L,pe_oi_L,atm_ce_oi_L,atm_pe_oi_L,pcr_chg,vix_open,vix_curr,spcl
2026-08-12 13:30,2026-08-12,near,2026-08-25,57507.7,57500,0.8305,0.8732,78.442,65.145,7.585,6.623,,,,
2026-08-12 13:47,2026-08-12,near,2026-08-25,57517.9,57500,0.8471,0.8421,79.087,66.992,7.68,6.468,,,,
2026-08-12 14:04,2026-08-12,near,2026-08-25,57510.3,57500,0.8502,0.8524,78.868,67.05,7.66,6.53,,,,
2026-08-12 14:21,2026-08-12,near,2026-08-25,57508.1,57500,0.8469,0.8634,79.233,67.099,7.733,6.676,,,,
2026-08-12 14:38,2026-08-12,near,2026-08-25,57623.5,57600,0.8489,1.0268,77.265,65.593,2.644,2.715,,,,
2026-08-12 14:54,2026-08-12,near,2026-08-25,57703.6,57700,0.845,0.7411,76.966,65.04,3.337,2.473,,,,
2026-08-12 15:11,2026-08-12,near,2026-08-25,57798.5,57800,0.7335,0.5344,85.957,63.053,3.558,1.901,,,,
2026-08-12 15:28,2026-08-12,near,2026-08-25,57771.35,57800,0.7292,0.5047,84.533,61.638,3.479,1.756,,,,
2026-08-19 14:35,2026-08-19,near,2026-08-25,57174.05,57200,0.8754,0.9219,99.408,87.026,4.237,3.906,,,,
2026-08-19 14:54,2026-08-19,near,2026-08-25,57192.45,57200,0.9119,1.0935,95.257,86.861,3.731,4.08,,,,
2026-08-19 15:12,2026-08-19,near,2026-08-25,57172.1,57200,0.9169,1.0687,93.737,85.946,3.588,3.834,,,,
2026-08-19 15:30,2026-08-19,near,2026-08-25,57157.75,57200,0.8965,0.9964,92.221,82.676,3.406,3.394,,,,
2026-08-19 15:48,2026-08-19,near,2026-08-25,57239.75,57200,0.8825,0.9953,90.181,79.582,3.264,3.249,,,,
2026-08-20 09:25,2026-08-20,near,2026-08-25,57529.8,57500,0.7167,0.7405,101.971,73.082,11.055,8.186,,,,
2026-08-20 09:43,2026-08-20,near,2026-08-25,57616.8,57600,0.746,0.7995,103.725,77.379,4.764,3.809,,,,
2026-08-21 14:33,2026-08-21,near,2026-08-25,57691.45,57700,0.9005,0.7345,119.819,107.901,11.798,8.665,,,,
2026-08-21 14:50,2026-08-21,near,2026-08-25,57671.8,57700,0.8902,0.7019,118.685,105.649,11.625,8.16,,,,
2026-08-21 15:07,2026-08-21,near,2026-08-25,57657.6,57700,0.8787,0.7065,116.471,102.348,11.217,7.925,,,,
2026-08-21 15:25,2026-08-21,near,2026-08-25,57647.65,57600,0.8547,0.8674,108.719,92.924,4.941,4.285,,,,
2026-08-21 15:42,2026-08-21,near,2026-08-25,57761.95,57800,0.6881,0.4253,116.026,79.832,5.038,2.143,,,,
2026-08-24 09:32,2026-08-24,near,2026-08-25,57759.7,57800,0.7003,0.6729,129.875,90.952,9.192,6.185,,,,
2026-08-24 09:51,2026-08-24,near,2026-08-25,57720.95,57700,0.7698,0.7388,130.844,100.72,11.89,8.785,,,,
2026-08-24 10:09,2026-08-24,near,2026-08-25,57707.5,57700,0.7666,0.759,135.534,103.901,13.033,9.892,,,,
2026-08-24 10:28,2026-08-24,near,2026-08-25,57654.95,57700,0.7343,0.6695,142.908,104.931,15.011,10.049,,,,
